Intervention,Trial_Count,Active_Hope_Count,Failed_Count,Completed_Count,Mean_Success_Score,Mean_Failure_Index,Pathways,Repurposing_Opportunity_Score
nicotinamide riboside dose escalation (up to 3000 mg daily in total),1,0,0,1,60.0,48.0,Synaptic / Cognitive; Metabolic / Mitochondrial,28.0
resveratrol,1,0,0,1,60.0,48.0,Synaptic / Cognitive; Metabolic / Mitochondrial; Lifestyle / Digital,28.0
regular insulin,1,0,0,1,60.0,48.0,Amyloid; Synaptic / Cognitive; Metabolic / Mitochondrial,28.0
gsk239512,2,0,0,2,50.0,60.0,Synaptic / Cognitive; Unspecified / Other,28.0
ivl3003,1,2,0,0,40.0,65.0,Cholinergic,28.0
bey2153,2,1,0,1,42.5,62.5,Unspecified / Other,28.0
nicotinamide riboside supplementation 1000mg daily in total,1,0,0,1,60.0,48.0,Synaptic / Cognitive; Metabolic / Mitochondrial,28.0
acc-001 + qs-21,2,0,0,2,50.0,57.5,Unspecified / Other,28.0
erchonia als laser,1,0,0,1,60.0,53.0,Amyloid; Tau; Synaptic / Cognitive; Cholinergic; NMDA / Glutamate,28.0
jnj-54861911 50 mg,1,0,0,1,60.0,58.0,Amyloid,28.0
volumeric mri,1,0,0,1,60.0,53.0,Amyloid,28.0
gocheck kids (windows),1,0,0,1,60.0,52.0,Unspecified / Other,28.0
al002,3,0,1,2,50.0,62.333333333333336,Unspecified / Other,28.0
nautilus neurowavetm system,1,0,0,1,60.0,53.0,Synaptic / Cognitive; Vascular,28.0
sar110894,1,0,0,1,60.0,50.0,Synaptic / Cognitive; Cholinergic,28.0
azd0530 100mg daily,1,0,0,1,60.0,48.0,Amyloid; Synaptic / Cognitive,28.0
azd0530 125mg daily,1,0,0,1,60.0,48.0,Amyloid; Synaptic / Cognitive,28.0
rotigotine transdermal patch,1,0,0,1,60.0,48.0,Synaptic / Cognitive; Cholinergic,28.0
the brain app,2,1,0,1,42.5,62.5,Synaptic / Cognitive; Vascular; Lifestyle / Digital; Vascular,28.0
gam-covid-vac,1,0,0,0,65.0,50.0,Unspecified / Other,28.0
th9507 human growth hormone releasing hormone (ghrh),1,0,0,1,60.0,48.0,Synaptic / Cognitive; Metabolic / Mitochondrial; Lifestyle / Digital,28.0
ac-3933,1,0,0,2,55.0,50.0,Unspecified / Other,28.0
personalized miamind neurostimulator,1,0,0,1,60.0,53.0,Amyloid; Tau; Neuroinflammation; Synaptic / Cognitive,28.0
levetiracetam 125mg,1,0,0,1,60.0,48.0,Synaptic / Cognitive,28.0
abt-384,1,0,0,1,60.0,50.0,Cholinergic,28.0
precivityad blood test,1,0,0,1,60.0,52.0,Amyloid; Synaptic / Cognitive,28.0
social robot,1,0,0,1,60.0,53.0,Synaptic / Cognitive,28.0
mem 1003,1,0,0,2,55.0,50.0,Synaptic / Cognitive; Vascular,28.0
aricept® evess,1,0,0,1,60.0,52.0,Vascular,28.0
mhrc,1,0,0,1,60.0,53.0,Amyloid; Tau; Synaptic / Cognitive; Metabolic / Mitochondrial; Lifestyle / Digital,28.0
pf-04360365 0.1 mg/kg,1,0,0,1,60.0,50.0,Unspecified / Other,28.0
bbb opening,1,0,0,1,60.0,53.0,Unspecified / Other,28.0
florbetaben f18,2,0,0,2,50.0,58.0,Amyloid; Vascular; Amyloid; Synaptic / Cognitive,28.0
standard csr sampling procedure,1,0,0,2,55.0,58.0,Synaptic / Cognitive,28.0
metabolic cofactor supplementation,1,0,0,1,60.0,48.0,Synaptic / Cognitive; Metabolic / Mitochondrial; Lifestyle / Digital,28.0
cannabis,1,0,0,1,60.0,48.0,Amyloid; Tau; Neuroinflammation; Synaptic / Cognitive; Lifestyle / Digital,28.0
mf59,1,0,0,1,60.0,50.0,Amyloid,28.0
"psychosocial information, counseling, and support",1,0,0,1,60.0,57.0,Cholinergic,28.0
kinto care coaching,1,0,0,1,60.0,52.0,Vascular; Lifestyle / Digital,28.0
sorbitol,1,0,0,1,60.0,48.0,Synaptic / Cognitive; Metabolic / Mitochondrial; Lifestyle / Digital,28.0
levetiracetam 62.5mg,1,0,0,1,60.0,48.0,Synaptic / Cognitive,28.0
gocheck kids (ios),1,0,0,1,60.0,52.0,Unspecified / Other,28.0
pf-04360365 0.5 mg/kg,1,0,0,1,60.0,50.0,Unspecified / Other,28.0
low-dose whole brain irradiation,1,0,0,1,60.0,48.0,Amyloid; Synaptic / Cognitive,28.0
e2609,4,0,1,3,39.5,67.5,Synaptic / Cognitive; Unspecified / Other; Synaptic / Cognitive; Cholinergic; NMDA / Glutamate,27.8
comparator drug,1,1,0,0,52.0,61.0,Unspecified / Other,27.8
12 cm2 - 2 active dmts patches,1,1,0,0,52.0,53.0,Unspecified / Other,27.8
ttyp01 tables 60mg,1,1,0,0,52.0,53.0,Synaptic / Cognitive,27.8
intranasal insulin,1,1,0,0,52.0,56.0,Amyloid; Tau; Synaptic / Cognitive; Metabolic / Mitochondrial; Vascular,27.8
plans4care,1,1,0,0,52.0,53.0,Synaptic / Cognitive,27.8
ttyp01 tables 90mg,1,1,0,0,52.0,53.0,Synaptic / Cognitive,27.8
cognitive exams,1,1,0,0,52.0,56.0,Tau; Synaptic / Cognitive,27.8
senicapoc,1,1,0,0,52.0,56.0,Amyloid; Neuroinflammation; Synaptic / Cognitive; Lifestyle / Digital,27.8
sensory stimulation system (gs120) - active,1,1,0,0,52.0,60.0,Synaptic / Cognitive,27.8
mri contrast,1,1,0,0,52.0,56.0,Tau; Synaptic / Cognitive,27.8
siponimod,1,1,0,0,52.0,56.0,Amyloid; Tau; Synaptic / Cognitive; Vascular,27.8
ttyp01 tables 0mg,1,1,0,0,52.0,53.0,Synaptic / Cognitive,27.8
tml-6,1,1,0,0,52.0,53.0,Amyloid; Neuroinflammation; Synaptic / Cognitive; Metabolic / Mitochondrial,27.8
thn391,1,1,0,0,52.0,61.0,Synaptic / Cognitive; Lifestyle / Digital,27.8
[18f]aci-19626,1,1,0,0,52.0,61.0,Unspecified / Other,27.8
[18f]flortaucipir injection,1,1,0,0,52.0,61.0,Tau,27.8
oculometry assessment,1,1,0,0,52.0,56.0,Tau; Synaptic / Cognitive,27.8
a positon emission tomography (pet) exam,1,1,0,0,52.0,56.0,Tau; Synaptic / Cognitive,27.8
high definition transcranial direct current stimulation,1,1,0,0,52.0,56.0,Synaptic / Cognitive,27.8
retinal imaging,2,0,0,1,54.5,53.5,Unspecified / Other; Amyloid; Synaptic / Cognitive; Lifestyle / Digital,27.8
cgb3002 0.4 mg/kg,1,1,0,0,52.0,61.0,Unspecified / Other,27.8
cgb3002 0.08 mg/kg,1,1,0,0,52.0,61.0,Unspecified / Other,27.8
cgb3002 3.6 mg/kg,1,1,0,0,52.0,61.0,Unspecified / Other,27.8
cgb3002 1.2 mg/kg,1,1,0,0,52.0,61.0,Unspecified / Other,27.8
cgb3002 7.2 mg/kg,1,1,0,0,52.0,61.0,Unspecified / Other,27.8
suvorexant 20 mg,1,1,0,0,52.0,56.0,Amyloid; Lifestyle / Digital,27.8
neuroepo,1,1,0,0,52.0,56.0,Amyloid; Tau; Synaptic / Cognitive; Metabolic / Mitochondrial,27.8
echs ad device,2,2,0,0,34.5,70.5,Synaptic / Cognitive; Synaptic / Cognitive; Vascular,27.8
khk6640,3,0,0,3,39.333333333333336,67.33333333333333,Unspecified / Other,27.733333333333334
ebicomb,1,0,0,0,64.0,49.0,Synaptic / Cognitive; Cholinergic; NMDA / Glutamate; Lifestyle / Digital,27.6
tele-savvy,3,0,0,4,34.0,66.0,Unspecified / Other; Tau; Synaptic / Cognitive,27.6
pm012,2,0,0,1,54.0,58.5,Cholinergic; Synaptic / Cognitive,27.6
recombinant novel coronavirus vaccine (adenovirus type 5 vector) for inhalation,1,0,0,1,59.0,53.0,Unspecified / Other,27.6
collaborative dementia care program,2,0,0,2,49.0,58.0,Synaptic / Cognitive,27.6
icosapent ethyl (ipe),1,0,0,1,59.0,57.0,Amyloid; Synaptic / Cognitive; Vascular,27.6
alzheimer's disease risk disclosure,2,0,0,2,49.0,58.5,Amyloid; Synaptic / Cognitive; Synaptic / Cognitive,27.6
pf-06751979 multiple ascending dose,2,0,0,2,49.0,60.0,Unspecified / Other,27.6
verubecestat (part ii),1,0,1,0,69.0,59.0,Amyloid; Tau; Synaptic / Cognitive,27.6
pimavanserin 20 mg,2,0,1,1,59.0,58.5,Unspecified / Other,27.6
high-intensity light therapy,1,0,0,1,59.0,49.0,Lifestyle / Digital,27.6
aripiprazole (bms-337039),1,0,0,1,59.0,54.0,Unspecified / Other,27.6
pimavanserin 34 mg,2,0,1,1,59.0,58.5,Unspecified / Other,27.6
lecanemab 2.5 mg/kg,1,0,0,1,59.0,58.0,Synaptic / Cognitive,27.6
wysa for chronic pain,1,1,0,0,51.0,56.0,Lifestyle / Digital,27.400000000000002
mib-626,2,1,0,1,41.0,67.0,Amyloid; Neuroinflammation; Synaptic / Cognitive; Metabolic / Mitochondrial; Lifestyle / Digital; Metabolic / Mitochondrial; Lifestyle / Digital,27.400000000000002
dasatinib + quercetin,2,1,0,1,41.0,67.0,Tau; Synaptic / Cognitive; Synaptic / Cognitive; Cholinergic; Lifestyle / Digital,27.400000000000002
predictplusprevent intervention,1,1,0,0,51.0,56.0,Lifestyle / Digital,27.400000000000002
quercetin,2,1,0,1,41.0,67.0,Tau; Synaptic / Cognitive; Synaptic / Cognitive; Vascular,27.400000000000002
psychoeducational intervention,1,1,0,0,51.0,56.0,Lifestyle / Digital,27.400000000000002
kneeapp,1,1,0,0,51.0,56.0,Lifestyle / Digital,27.400000000000002
nurse-led telephonic care (nltc),1,1,0,0,51.0,56.0,Unspecified / Other,27.400000000000002
train ad 2.0,1,1,0,0,51.0,56.0,Unspecified / Other,27.400000000000002
just-in-time adaptive interventions (jitais),1,1,0,0,51.0,56.0,Lifestyle / Digital,27.400000000000002
community paramedic-led transitions intervention (cpti),1,1,0,0,51.0,56.0,Unspecified / Other,27.400000000000002
emergency care redesign (ecr),1,1,0,0,51.0,56.0,Unspecified / Other,27.400000000000002
rivastigmine mini-tablet,1,1,0,0,51.0,56.0,Cholinergic,27.400000000000002
strokeapp,1,1,0,0,51.0,56.0,Vascular; Lifestyle / Digital,27.400000000000002
dasatinib,2,1,0,1,41.0,67.0,Tau; Synaptic / Cognitive; Synaptic / Cognitive; Vascular,27.400000000000002
electronic self administered gerocognitive examination (esage),1,1,0,0,51.0,56.0,Synaptic / Cognitive; Lifestyle / Digital,27.400000000000002
sage-718,2,0,0,2,48.5,56.5,Synaptic / Cognitive,27.400000000000002
[18f]nav4694,3,0,1,0,58.333333333333336,57.333333333333336,Amyloid; Amyloid; Synaptic / Cognitive,27.333333333333336
belly-focus meditation,1,0,0,1,58.0,50.0,Synaptic / Cognitive,27.200000000000003
belly-focus meditation with slow breathing,1,0,0,1,58.0,50.0,Synaptic / Cognitive,27.200000000000003
tai chi,1,0,0,1,58.0,50.0,Synaptic / Cognitive; Lifestyle / Digital,27.200000000000003
alianza latina,1,0,0,1,58.0,50.0,Synaptic / Cognitive,27.200000000000003
adapted tango dance,1,0,0,1,58.0,50.0,Synaptic / Cognitive; Lifestyle / Digital,27.200000000000003
[f-18]mk-6240,1,0,0,1,58.0,50.0,Amyloid; Tau; Neuroinflammation; Synaptic / Cognitive; Vascular,27.200000000000003
rtms active treatment,1,0,0,1,58.0,50.0,Synaptic / Cognitive,27.200000000000003
study supplement,1,0,0,1,58.0,50.0,Synaptic / Cognitive; Metabolic / Mitochondrial; Lifestyle / Digital,27.200000000000003
h2 gas inhalation,1,0,0,1,58.0,50.0,Amyloid; Tau; Neuroinflammation; Vascular,27.200000000000003
eeg with spr analysis,1,0,0,0,63.0,52.0,Synaptic / Cognitive,27.200000000000003
guided,1,0,0,1,58.0,50.0,Neuroinflammation; Synaptic / Cognitive; Vascular,27.200000000000003
counselling on a brain-healthy diet,1,0,0,1,58.0,50.0,Synaptic / Cognitive; Lifestyle / Digital,27.200000000000003
holistic nursing,1,0,0,1,58.0,50.0,Synaptic / Cognitive; Cholinergic,27.200000000000003
a cranial mri,1,0,0,1,58.0,50.0,Synaptic / Cognitive,27.200000000000003
group wellness class 1,1,0,0,0,63.0,52.0,Unspecified / Other,27.200000000000003
longitudinal follow-up,1,0,0,0,63.0,52.0,Synaptic / Cognitive,27.200000000000003
group wellness class 2,1,0,0,0,63.0,52.0,Unspecified / Other,27.200000000000003
tailored activity program,1,0,0,1,58.0,50.0,Synaptic / Cognitive; Cholinergic; NMDA / Glutamate,27.200000000000003
smart pillbox,1,0,0,1,58.0,50.0,Tau; Synaptic / Cognitive; Metabolic / Mitochondrial; Vascular; Lifestyle / Digital,27.200000000000003
educational training,1,0,0,1,58.0,50.0,Synaptic / Cognitive; Lifestyle / Digital,27.200000000000003
2 ma hd-tdcs,1,0,0,1,58.0,50.0,Synaptic / Cognitive,27.200000000000003
luxtherapy,1,0,0,1,58.0,50.0,Synaptic / Cognitive; Lifestyle / Digital,27.200000000000003
agb101 220 mg tablet,1,0,0,1,58.0,55.0,Synaptic / Cognitive,27.200000000000003
cognitive training intervention,1,0,0,1,58.0,50.0,Neuroinflammation; Synaptic / Cognitive; Lifestyle / Digital,27.200000000000003
physical exercise training,1,0,0,1,58.0,50.0,Synaptic / Cognitive; Lifestyle / Digital,27.200000000000003
24-week resistance exercise program,1,0,0,1,58.0,50.0,Amyloid; Synaptic / Cognitive; Lifestyle / Digital,27.200000000000003
3 ma hd-tdcs,1,0,0,1,58.0,50.0,Synaptic / Cognitive,27.200000000000003
epa,1,0,0,1,58.0,50.0,Neuroinflammation; Synaptic / Cognitive; Metabolic / Mitochondrial; Vascular; Lifestyle / Digital,27.200000000000003
endurance training,1,0,0,1,58.0,50.0,Synaptic / Cognitive; Lifestyle / Digital,27.200000000000003
periodontal examinations,1,0,0,1,58.0,50.0,Amyloid; Neuroinflammation; Lifestyle / Digital,27.200000000000003
physical exercise intervention,1,0,0,1,58.0,50.0,Neuroinflammation; Synaptic / Cognitive; Lifestyle / Digital,27.200000000000003
educational lectures,1,0,0,1,58.0,50.0,Synaptic / Cognitive; Lifestyle / Digital,27.200000000000003
physical activity condition,1,0,0,1,58.0,50.0,Synaptic / Cognitive; Lifestyle / Digital,27.200000000000003
self-directed,1,0,0,1,58.0,50.0,Neuroinflammation; Synaptic / Cognitive; Vascular,27.200000000000003
[18f]flutemetamol pet scan,1,0,0,1,58.0,50.0,Amyloid; Synaptic / Cognitive,27.200000000000003
therapeutic education meetings,1,0,0,1,58.0,50.0,Synaptic / Cognitive; Lifestyle / Digital,27.200000000000003
gait assessment,1,0,0,1,58.0,50.0,Amyloid; Synaptic / Cognitive; Lifestyle / Digital,27.200000000000003
contrast agent enhanced mri using gadovist,1,0,0,1,58.0,50.0,Synaptic / Cognitive,27.200000000000003
clinical dementia rating scale,1,0,0,1,58.0,50.0,Amyloid; Neuroinflammation; Lifestyle / Digital,27.200000000000003
contact and testing only,1,0,0,1,58.0,50.0,Synaptic / Cognitive; Lifestyle / Digital,27.200000000000003
continuous positive airway pressure (cpap),1,0,0,1,58.0,50.0,Amyloid; Tau; Synaptic / Cognitive; Metabolic / Mitochondrial; Vascular; Lifestyle / Digital,27.200000000000003
navigated care,2,0,0,2,48.0,59.0,Synaptic / Cognitive; Vascular,27.200000000000003
home safety and education program,2,0,0,2,48.0,56.0,Synaptic / Cognitive; Lifestyle / Digital; Synaptic / Cognitive; Cholinergic; NMDA / Glutamate,27.200000000000003
high-definition transcranial current stimulation,1,0,0,1,58.0,50.0,Amyloid; Synaptic / Cognitive; Lifestyle / Digital,27.200000000000003
paced breathing,1,0,0,1,58.0,50.0,Amyloid; Synaptic / Cognitive; Vascular,27.200000000000003
olfactory test,1,0,0,1,58.0,50.0,Synaptic / Cognitive,27.200000000000003
breathing,1,0,0,1,58.0,50.0,Neuroinflammation; Vascular,27.200000000000003
moderate intensity aerobic exercise,1,0,0,1,58.0,50.0,Synaptic / Cognitive; Metabolic / Mitochondrial; Vascular; Lifestyle / Digital,27.200000000000003
motivational behavioural intervention and daily activities monitoring,1,0,0,1,58.0,50.0,Synaptic / Cognitive; Lifestyle / Digital,27.200000000000003
sertraline [zoloft],1,0,0,1,58.0,50.0,Synaptic / Cognitive; Lifestyle / Digital,27.200000000000003
pet biomarker disclosure,1,0,0,1,58.0,50.0,Amyloid; Tau; Synaptic / Cognitive,27.200000000000003
m-learning application,1,0,0,1,58.0,50.0,Unspecified / Other,27.200000000000003
spirit-in person,1,0,0,1,58.0,50.0,Synaptic / Cognitive,27.200000000000003
spirit-remote,1,0,0,1,58.0,50.0,Synaptic / Cognitive,27.200000000000003
complete blood count test,1,0,0,1,58.0,50.0,Amyloid; Neuroinflammation; Lifestyle / Digital,27.200000000000003
in memento-vascod,1,0,0,1,58.0,57.0,Amyloid; Tau; Neuroinflammation; Synaptic / Cognitive; Vascular,27.200000000000003
self-hypnotic relaxation,1,0,0,1,58.0,50.0,Synaptic / Cognitive; Cholinergic; NMDA / Glutamate; Lifestyle / Digital,27.200000000000003
"memantine, dopamine receptor-agonists",1,0,0,1,58.0,50.0,Neuroinflammation; Synaptic / Cognitive; NMDA / Glutamate; Metabolic / Mitochondrial,27.200000000000003
nutritional intervention,1,0,0,1,58.0,50.0,Unspecified / Other,27.200000000000003
bay 94-9172 (florbetaben),1,0,0,1,58.0,50.0,Amyloid; Synaptic / Cognitive,27.200000000000003
nutritional supplementation,1,0,0,1,58.0,50.0,Synaptic / Cognitive; Lifestyle / Digital,27.200000000000003
fish oil,2,0,0,2,48.0,58.5,Neuroinflammation; Metabolic / Mitochondrial; Amyloid; Tau; Synaptic / Cognitive; Lifestyle / Digital,27.200000000000003
standardized mini-mental test,1,0,0,1,58.0,50.0,Amyloid; Neuroinflammation; Lifestyle / Digital,27.200000000000003
apoe genotyping,1,0,0,1,58.0,50.0,Amyloid; Synaptic / Cognitive; Lifestyle / Digital,27.200000000000003
contrast sensitivity,1,0,0,1,58.0,50.0,Amyloid; Synaptic / Cognitive; Lifestyle / Digital,27.200000000000003
intellectual stimulation,1,0,0,1,58.0,50.0,Synaptic / Cognitive; Lifestyle / Digital,27.200000000000003
mri and pet scan,1,0,0,1,58.0,57.0,Amyloid; Synaptic / Cognitive,27.200000000000003
language therapy,1,0,0,1,58.0,50.0,Unspecified / Other,27.200000000000003
lanabecestat,3,0,3,0,68.0,59.666666666666664,Synaptic / Cognitive; Amyloid; Synaptic / Cognitive; Unspecified / Other,27.200000000000003
fast walking,1,0,0,1,58.0,50.0,Synaptic / Cognitive; Lifestyle / Digital,27.200000000000003
ppci-staff education only (eo),1,0,0,1,58.0,50.0,Synaptic / Cognitive,27.200000000000003
promoting positive care interactions (ppci),1,0,0,1,58.0,50.0,Synaptic / Cognitive,27.200000000000003
probiotic supplemented intervention,1,0,0,1,58.0,50.0,Synaptic / Cognitive,27.200000000000003
conem-beta + socio-educational training,1,0,0,1,58.0,50.0,Synaptic / Cognitive,27.200000000000003
sleep and lifestyle education,1,0,0,1,58.0,50.0,Amyloid; Tau; Synaptic / Cognitive; Lifestyle / Digital,27.200000000000003
care of older persons in their environment (cope) online module training,1,0,0,1,58.0,50.0,Synaptic / Cognitive; Vascular; Lifestyle / Digital,27.200000000000003
micrnas battery,1,0,0,0,63.0,52.0,Amyloid; Synaptic / Cognitive,27.200000000000003
f-18 av-1451 positron emission tomography (pet) imaging,1,0,0,1,58.0,50.0,Synaptic / Cognitive; Vascular,27.200000000000003
interactive digital platform,1,0,0,1,58.0,50.0,Tau; Synaptic / Cognitive; Metabolic / Mitochondrial; Vascular; Lifestyle / Digital,27.200000000000003
investigational radiotracer [18f]mk6240,1,0,0,0,63.0,52.0,Amyloid; Tau; Synaptic / Cognitive,27.200000000000003
socio-educational training only,1,0,0,1,58.0,50.0,Synaptic / Cognitive,27.200000000000003
transcranial magnetic stimulation (active),1,0,0,1,58.0,50.0,Unspecified / Other,27.200000000000003
traditional learning process,1,0,0,1,58.0,50.0,Unspecified / Other,27.200000000000003
f-18 florbetapir positron emission tomography (pet) imaging,1,0,0,1,58.0,50.0,Synaptic / Cognitive; Vascular,27.200000000000003
brain magnetic resonance imaging (mri),1,0,0,1,58.0,50.0,Synaptic / Cognitive; Vascular,27.200000000000003
mixed functional foods supplementation,1,0,0,1,58.0,50.0,Synaptic / Cognitive,27.200000000000003
erinacine a-enriched hericium erinaceus mycelia,1,0,0,1,58.0,50.0,Amyloid; Synaptic / Cognitive; Lifestyle / Digital,27.200000000000003
experimental procedure,1,0,0,1,58.0,50.0,Synaptic / Cognitive,27.200000000000003
brain training,1,0,0,1,58.0,50.0,Amyloid; Synaptic / Cognitive; Vascular,27.200000000000003
pet scan using florbetapir,1,0,0,1,58.0,55.0,Synaptic / Cognitive,27.200000000000003
atomoxetine hydrochloride,1,0,0,1,58.0,55.0,Synaptic / Cognitive,27.200000000000003
zt-1,1,0,0,1,58.0,52.0,Synaptic / Cognitive; Cholinergic,27.200000000000003
pet/ct with 11c-pib,1,0,0,1,58.0,50.0,Amyloid; Synaptic / Cognitive; Lifestyle / Digital,27.200000000000003
north coast medical activadose ii,1,0,0,1,58.0,50.0,Synaptic / Cognitive,27.200000000000003
neuropsychological assessment and multimodal brain mri,1,0,0,1,58.0,50.0,Synaptic / Cognitive,27.200000000000003
1 ma hd-tdcs,1,0,0,1,58.0,50.0,Synaptic / Cognitive,27.200000000000003
weight maintenance intervention,1,0,0,1,58.0,50.0,Metabolic / Mitochondrial; Lifestyle / Digital,27.200000000000003
saline solution,3,0,0,2,43.0,64.66666666666667,Synaptic / Cognitive; Metabolic / Mitochondrial; Vascular; Lifestyle / Digital; Unspecified / Other,27.2
acd856,3,0,0,3,37.666666666666664,67.33333333333333,Synaptic / Cognitive,27.066666666666666
rosiglitazone xr,3,0,2,1,57.666666666666664,60.666666666666664,Synaptic / Cognitive; Cholinergic; Synaptic / Cognitive; Unspecified / Other,27.066666666666666
memory assessment,3,0,0,1,47.666666666666664,60.333333333333336,Amyloid; Tau; Synaptic / Cognitive; Metabolic / Mitochondrial; Synaptic / Cognitive,27.066666666666666
diagnostic disclosure protocol,1,1,0,0,50.0,58.0,Amyloid; Tau; Synaptic / Cognitive,27.0
spanish-language caregiver-enabled care program (cecp),1,1,0,0,50.0,55.0,Lifestyle / Digital,27.0
time-restricted eating,1,1,0,0,50.0,58.0,Synaptic / Cognitive; Metabolic / Mitochondrial; Lifestyle / Digital,27.0
biomarker disclosure protocol,1,1,0,0,50.0,58.0,Amyloid; Tau; Synaptic / Cognitive,27.0
sodium mri,1,1,0,0,50.0,58.0,Amyloid; Tau; Metabolic / Mitochondrial,27.0
internal temperature measurement,1,1,0,0,50.0,58.0,Amyloid; Synaptic / Cognitive; Lifestyle / Digital,27.0
cerebral mri,1,1,0,0,50.0,58.0,Amyloid; Synaptic / Cognitive; Lifestyle / Digital,27.0
[18f]-dpa-714,1,1,0,0,50.0,58.0,Amyloid; Tau; Neuroinflammation; Synaptic / Cognitive,27.0
confmem,1,1,0,0,50.0,58.0,Synaptic / Cognitive; Lifestyle / Digital,27.0
fractional diuresis,1,1,0,0,50.0,58.0,Amyloid; Synaptic / Cognitive; Lifestyle / Digital,27.0
spermidine supplementation,1,1,0,0,50.0,58.0,Neuroinflammation; Synaptic / Cognitive; Metabolic / Mitochondrial; Lifestyle / Digital,27.0
fmri,1,1,0,0,50.0,58.0,Synaptic / Cognitive; Lifestyle / Digital,27.0
mri assessment and blood sample collection,1,1,0,0,50.0,58.0,Amyloid; Synaptic / Cognitive; Lifestyle / Digital,27.0
bcg vaccine,1,1,0,0,50.0,58.0,Amyloid; Tau; Neuroinflammation; Synaptic / Cognitive; Metabolic / Mitochondrial; Lifestyle / Digital,27.0
telemonitoring at home for 1 week,1,1,0,0,50.0,58.0,Amyloid; Synaptic / Cognitive; Lifestyle / Digital,27.0
[18f]-ro-948,1,1,0,0,50.0,58.0,Amyloid; Tau; Neuroinflammation; Synaptic / Cognitive,27.0
sample collection of exfoliated buccal mucosa,1,1,0,0,50.0,58.0,Amyloid; Synaptic / Cognitive; Lifestyle / Digital,27.0
abbv-552,2,0,0,2,47.5,60.0,Synaptic / Cognitive; Unspecified / Other,27.0
vielight neuro gamma,2,0,0,2,47.5,60.5,Synaptic / Cognitive; Vascular; Lifestyle / Digital; Amyloid; Tau; Neuroinflammation; Synaptic / Cognitive; Vascular,27.0
beta blockers,1,1,0,0,50.0,58.0,Unspecified / Other,27.0
blood punction,1,1,0,0,50.0,58.0,Amyloid; Tau; Synaptic / Cognitive; Metabolic / Mitochondrial,27.0
blood glucose assessment,1,1,0,0,50.0,58.0,Synaptic / Cognitive; Metabolic / Mitochondrial,27.0
phase-locked auditory stimulation (plas),1,1,0,0,50.0,58.0,Synaptic / Cognitive; Lifestyle / Digital,27.0
bpdo-1603,2,0,0,1,52.5,60.0,Unspecified / Other,27.0
pf-04360365 3 mg/kg,2,0,0,2,47.5,60.0,Unspecified / Other,27.0
cognitive and functional stimulation using digital platforms,1,1,0,0,50.0,58.0,Synaptic / Cognitive; Lifestyle / Digital,27.0
hydration assessment via mobile app,1,1,0,0,50.0,55.0,Unspecified / Other,27.0
retinal scan,1,1,0,0,50.0,55.0,Synaptic / Cognitive,27.0
[c-11]pib-pet/mri,1,1,0,0,50.0,58.0,Amyloid; Synaptic / Cognitive; Vascular,27.0
tactile genus,1,1,0,0,50.0,58.0,Synaptic / Cognitive,27.0
pf-04360365 8.5 mg/kg,2,0,0,2,47.5,60.0,Unspecified / Other,27.0
series of cognitive tasks during a semi-automated call,1,1,0,0,50.0,58.0,Amyloid; Tau; Synaptic / Cognitive,27.0
mri follow-up,1,1,0,0,50.0,58.0,Amyloid; Metabolic / Mitochondrial,27.0
personalized transcranial direct current stimulation (tdcs),1,1,0,0,50.0,58.0,Synaptic / Cognitive,27.0
individualized language training,1,1,0,0,50.0,58.0,Synaptic / Cognitive; Lifestyle / Digital,27.0
staff led making connections thru music,1,1,0,0,50.0,55.0,Vascular,27.0
positron emission tomography (pet) using 11c-er176 for tspo and 18f-smbt1 for mao-b,1,1,0,0,50.0,58.0,Amyloid; Tau; Neuroinflammation; Synaptic / Cognitive,27.0
neuropsycological assesment,1,1,0,0,50.0,58.0,Amyloid; Synaptic / Cognitive; Lifestyle / Digital,27.0
virtual music therapy,1,1,0,0,50.0,58.0,Synaptic / Cognitive,27.0
volunteer led making connections thru music,1,1,0,0,50.0,55.0,Vascular,27.0
venous blood sample of 20ml,1,1,0,0,50.0,58.0,Amyloid; Synaptic / Cognitive; Lifestyle / Digital,27.0
18f-ro948,1,1,0,0,50.0,58.0,Amyloid; Tau; Synaptic / Cognitive,27.0
water immersion heat therapy,1,1,0,0,50.0,58.0,Amyloid; Tau; Neuroinflammation; Synaptic / Cognitive; Metabolic / Mitochondrial; Vascular; Lifestyle / Digital,27.0
active transcutaneous vagus nerve stimulation respiratory-gated non-painful electrical stimulation of the auricle for 10 minute sessions,1,1,0,0,50.0,58.0,Synaptic / Cognitive,27.0
low-intensity focused ultrasound pulsation (lifup),1,1,0,0,50.0,58.0,Synaptic / Cognitive,27.0
high-resolution diffusion mri,1,1,0,0,50.0,58.0,Amyloid; Tau; Synaptic / Cognitive,27.0
leuprolide acetate,2,0,0,2,47.5,57.5,Synaptic / Cognitive,27.0
closed-loop acoustic stimulation,1,1,0,0,50.0,58.0,Amyloid; Synaptic / Cognitive; Lifestyle / Digital,27.0
gut-x-001,1,1,0,0,50.0,58.0,Synaptic / Cognitive; Metabolic / Mitochondrial,27.0
studyu application,1,1,0,0,50.0,58.0,Unspecified / Other,27.0
lemborexant 20mg,1,1,0,0,50.0,58.0,Amyloid; Tau; Neuroinflammation; Synaptic / Cognitive; Lifestyle / Digital,27.0
